Кластер - 1;Кластер - 2;Всего комментариев
Встреча;встреча;2080
Встреча;звонок;1229
Встреча;переговоры;244
Встреча;придет в банк;31
Встреча;приглашение в банк;149
Выполнено;сделка;119
Выполнено;выполнено;185
Выполнено;подключен;16
Выполнено;рассчитан овердрафт;3
Мусор;мусор;524
Неудачный контакт;не ответили;460
Неудачный контакт;нет контактов;1483
Неудачный контакт;не отработана. перенесена;1349
Неудачный контакт;нет на месте;77
Неудачный контакт;занято;43
Отказ;не нужен\не может\не хочет;12952
Отказ;отказ;5787
Отказ;территориально;215
Отказ;не разговаривают;325
Отказ;др банк;651
Отказ;дорогие тарифы;422
Отказ;обратится сам;221
Отказ;отказ категорический;219
Отказ;не лоялен ;167
Отказ;условия;107
Отказ;планируют закрывать счет;55
Отказ;много документов;12
Отказ;отказ от реструктуризации;5
Ошибка задачи;есть кредит;532
Ошибка задачи;сегмент;92
Ошибка задачи;счет закрыт;104
Ошибка задачи;не соответсвует требованиям;801
Ошибка задачи;ошибка выборки;83
Ошибка задачи;счет есть сб;50
Ошибка задачи;км;56
Ошибка задачи;счет есть;37
Ошибка задачи;погашен;49
Ошибка задачи;дубль;27
Ошибка задачи;казн. + бюджет;20
Перспектива;пока;1573
Перспектива;др продукт сб;843
Перспектива;интересует;417
Перспектива;надежда есть;615
Перспектива;клиент согласен на;174
Перспектива;возможно кредит;6
Проблемный клиент;не ведет деятельность;1471
Проблемный клиент;банкротство;25
Проблемный клиент;реструктуризация;94
Проблемный клиент;ликвидация;85
Проблемный клиент;черная зона;28
Проблемный клиент;реорганизация;41
Проблемный клиент;просрочка;36
Проблемный клиент;проблемы;46
Условия;возраст;46
Условия;небольшие обороты;319
Условия;документы;167
Условия;голов. комп;100
Условия;группа компаний;181
Условия;оптовая торговля;147
Условия;аренда;104
Условия;род деятельности;134
Условия;сезонный бизнес;33
Условия;безналичный;81
Условия;фл;12
Условия;новая компания;7
Условия;досрочное гашение;19
Условия;не рассчитывается;6
Условия;кэптивный банк;3
