;0;1
0;встреча;['проведена', 'место', 'после', 'предварительно', 'переговоры', 'встреча', 'назначена', 'информация', 'кредитование', 'результат', 'план', 'звонок', 'территории', 'договоренность', 'овердрафт', 'клиентом', 'дата', 'офисе', 'бизнесе', 'банка', 'след']
1;отказ;['отказ', 'предложение', 'время', 'страхование', 'переговоры', 'эквайринг', 'продукты', 'встречи', 'будут', 'кредитование', 'средств', 'лизинг', 'не_интересует', 'нет_потребности', 'банка', 'звонок', 'клиент', 'овердрафт', 'пока', 'встретиться', 'момент', 'вопрос', 'готов']
2;звонок;['время', 'предложение', 'договорились', 'телефон', 'сейчас', 'назначен', 'встрече', 'директор', 'кредитование', 'после', 'встретиться', 'повторный', 'звонок', 'перезвонить', 'созвониться', 'позвонить', 'клиент', 'выручка', 'просил', 'находится', 'момент', 'неделе']
3;род деятельности;['работами', 'клиента', 'не_актуален', 'предложение', 'счет', 'встреча', 'контакты', 'занимаются', 'информация', 'директор', 'кредитование', 'производством', 'лизинг', 'не_интересует', 'средств', 'корп', 'банка', 'торговлей', 'эквайринг', 'овердрафт', 'данный', 'потребности', 'депозиты', 'не_рассчитывается', 'момент', 'выручка', 'оптовой']
4;не лоялен ;['отказ', 'средств', 'предложение', 'против', 'сбербанк', 'компании', 'продукты', 'встречи', 'ранее', 'торговля', 'категорически', 'директор', 'кредитование', 'настроен', 'работы', 'клиент', 'не_интересует', 'данный', 'счет', 'негативно', 'момент', 'выручка']
5;территориально;['территориально', 'переговоры', 'счет', 'сейчас', 'командировке', 'области', 'директор', 'кредитование', 'городе', 'компания', 'организация', 'другом', 'головная', 'встречу', 'решения', 'клиент', 'филиал', 'москве', 'бизнес', 'данный', 'потребности', 'офисе', 'находится', 'момент', 'банка', 'проживает']
6;не ведет деятельность;['отказ', 'деятельности', 'банка', 'пока', 'счет', 'эквайринг', 'продукты', 'встреча', 'директор', 'кредитование', 'лизинг', 'овердрафт', 'нет_потребности', 'не_подходит', 'года', 'компания', 'организации', 'виду', 'бизнес', 'клиент', 'занимается', 'данный', 'момент', 'выручка']
7;не соответсвует требованиям;['отказ', 'задолженность', 'операций', 'требованиям', 'кредитная', 'компании', 'история', 'не_соответствует', 'плохая', 'счет', 'кредитование', 'средств', 'нет_потребности', 'свободных', 'приостановление', 'денежных', 'размещения', 'встречи', 'клиент', 'не_интересует', 'пока', 'заблокирован', 'дата', 'депозит', 'организации', 'банка']
8;интересует;['отказ', 'время', 'переговоры', 'встреча', 'след', 'кредитование', 'лизинг', 'не_интересует', 'банка', 'звонок', 'предложение', 'перезвонить', 'эквайринг', 'клиент', 'овердрафт', 'пока', 'данный', 'экспресс', 'момент', 'подумает']
9;безналичный;['место', 'предложение', 'отказ', 'компании', 'продукты', 'действий', 'встреча', 'кредитование', 'лизинг', 'след', 'результат', 'план', 'банк', 'момент', 'потребности', 'клиент', 'выручка', 'данный', 'безналично', 'бизнесе', 'деятельности', 'информация']
